Name,Support,Line Count,Bindings,Source
OutX,0.6042553191489362,142,,OutX -v X
OutMS_SQL_Server,0.07659574468085106,18,X = MS_SQL_Server,OutX -v X
OutIBM_DB2,0.059574468085106386,14,X = IBM_DB2,OutX -v X
OutOracle,0.09787234042553192,23,X = Oracle,OutX -v X
OutMySQL,0.17446808510638298,41,X = MySQL,OutX -v X
OutHyperSQL,0.14042553191489363,33,X = HyperSQL,OutX -v X
OutHazelcast,0.07234042553191489,17,X = Hazelcast,OutX -v X
OutPostgreSQL,0.10638297872340426,25,X = PostgreSQL,OutX -v X
OutH2,0.13617021276595745,32,X = H2,OutX -v X
OutSAPSQLAnywhere,0.05106382978723404,12,X = SAPSQLAnywhere,OutX -v X
OutSAPAdaptiveServer,0.05106382978723404,12,X = SAPAdaptiveServer,OutX -v X
OutEtcd,0.00425531914893617,1,X = Etcd,OutX -v X
OutHBase,0.0425531914893617,10,X = HBase,OutX -v X
OutSQLite,0.059574468085106386,14,X = SQLite,OutX -v X
OutRedis,0.09361702127659574,22,X = Redis,OutX -v X
OutGoogleCloudDatastore,0.059574468085106386,14,X = GoogleCloudDatastore,OutX -v X
OutCassandra,0.03829787234042553,9,X = Cassandra,OutX -v X
OutMongoDB,0.0425531914893617,10,X = MongoDB,OutX -v X
OutRealm,0.00851063829787234,2,X = Realm,OutX -v X
OutDynamoDB,0.01702127659574468,4,X = DynamoDB,OutX -v X
OutCouchDB,0.00425531914893617,1,X = CouchDB,OutX -v X
OutPostGIS,0.00425531914893617,1,X = PostGIS,OutX -v X
OutFirebaseRealtime,0.01702127659574468,4,X = FirebaseRealtime,OutX -v X
OutInformix,0.02127659574468085,5,X = Informix,OutX -v X
OutMarkLogic,0.00425531914893617,1,X = MarkLogic,OutX -v X
OutFirebird,0.01702127659574468,4,X = Firebird,OutX -v X
OutIngres,0.00851063829787234,2,X = Ingres,OutX -v X
OutJoin_Ignite_NoSql,0.01276595744680851,3,X = Join_Ignite_NoSql,OutX -v X
OutSnowflake,0.00425531914893617,1,X = Snowflake,OutX -v X
OutNeo4j,0.03404255319148936,8,X = Neo4j,OutX -v X
OutInflux_DB,0.00425531914893617,1,X = Influx_DB,OutX -v X
OutCouchbase,0.01702127659574468,4,X = Couchbase,OutX -v X
OutArangoDB,0.00425531914893617,1,X = ArangoDB,OutX -v X
OutTeradata,0.01276595744680851,3,X = Teradata,OutX -v X
OutMS_Access,0.02553191489361702,6,X = MS_Access,OutX -v X
OutVertica,0.00851063829787234,2,X = Vertica,OutX -v X
OutAerospike,0.00425531914893617,1,X = Aerospike,OutX -v X
OutSapHana,0.01276595744680851,3,X = SapHana,OutX -v X
~OutX,0.8212765957446808,193,,~OutX -v X
~OutMS_SQL_Server,0.20851063829787234,49,X = MS_SQL_Server,~OutX -v X
~OutIBM_DB2,0.1148936170212766,27,X = IBM_DB2,~OutX -v X
~OutOracle,0.3021276595744681,71,X = Oracle,~OutX -v X
~OutMySQL,0.4085106382978723,96,X = MySQL,~OutX -v X
~OutHyperSQL,0.20425531914893616,48,X = HyperSQL,~OutX -v X
~OutHazelcast,0.07234042553191489,17,X = Hazelcast,~OutX -v X
~OutPostgreSQL,0.3276595744680851,77,X = PostgreSQL,~OutX -v X
~OutH2,0.34893617021276596,82,X = H2,~OutX -v X
~OutSAPSQLAnywhere,0.05531914893617021,13,X = SAPSQLAnywhere,~OutX -v X
~OutSAPAdaptiveServer,0.05106382978723404,12,X = SAPAdaptiveServer,~OutX -v X
~OutEtcd,0.029787234042553193,7,X = Etcd,~OutX -v X
~OutHBase,0.059574468085106386,14,X = HBase,~OutX -v X
~OutSQLite,0.11063829787234042,26,X = SQLite,~OutX -v X
~OutRedis,0.28936170212765955,68,X = Redis,~OutX -v X
~OutGoogleCloudDatastore,0.12340425531914893,29,X = GoogleCloudDatastore,~OutX -v X
~OutCassandra,0.09361702127659574,22,X = Cassandra,~OutX -v X
~OutMongoDB,0.17446808510638298,41,X = MongoDB,~OutX -v X
~OutRealm,0.00851063829787234,2,X = Realm,~OutX -v X
~OutDynamoDB,0.12340425531914893,29,X = DynamoDB,~OutX -v X
~OutCouchDB,0.00851063829787234,2,X = CouchDB,~OutX -v X
~OutRiak_KV,0.00851063829787234,2,X = Riak_KV,~OutX -v X
~OutPostGIS,0.0425531914893617,10,X = PostGIS,~OutX -v X
~OutFirebaseRealtime,0.01702127659574468,4,X = FirebaseRealtime,~OutX -v X
