db,projects_affected,total_cves,median_total_exposure_days,mean_total_exposure_days,median_post_disclosure_days,mean_post_disclosure_days,max_post_disclosure_days
H2,38,154,2155.0,2329.4736842105262,1789.0,1645.7631578947369,2672.0
PostgreSQL,23,146,2132.0,2088.9565217391305,1433.0,1368.9565217391305,2629.0
MySQL,28,217,1721.5,1918.8214285714287,675.0,812.3214285714286,2048.0
Couchbase,1,4,459.0,459.0,459.0,459.0,459.0
Snowflake,3,17,1268.0,1103.0,201.0,449.0,971.0
MongoDB,5,5,475.0,737.2,192.0,165.0,301.0
Redis,12,16,747.0,1182.25,153.5,300.1666666666667,824.0
Ignite,2,6,509.5,509.5,55.0,55.0,110.0
SQLite,10,10,1362.5,1782.4,22.0,311.6,951.0
HBase,1,1,2.0,2.0,2.0,2.0,2.0
HyperSQL,19,19,1323.0,1596.0526315789473,0.0,89.05263157894737,883.0
Hazelcast,9,32,349.0,1246.888888888889,0.0,224.11111111111111,975.0
MS SQL Server_Microsoft Azure SQL Database,7,7,747.0,939.5714285714286,0.0,8.571428571428571,38.0
Neo4j,1,3,149.0,149.0,0.0,0.0,0.0
Cassandra,3,7,118.0,107.66666666666667,0.0,0.0,0.0
